"filename", "language", "CSS", "JSON", "TypeScript", "TypeScript React", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\README.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 21, 47
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\package-lock.json", "JSON", 0, 17035, 0, 0, 0, 0, 0, 0, 1, 17036
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\package.json", "JSON", 0, 66, 0, 0, 0, 0, 0, 0, 1, 67
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\index.html", "HTML", 0, 0, 0, 0, 0, 22, 0, 23, 1, 46
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\administration.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\arrow-down.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\bars-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\bell.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\book-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\briefcase-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\cog.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\comment-regular.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\comments.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\compress-alt-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\delicious-brands.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\dot-circle-regular.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\ecosystem.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\ellipsis-h-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\entities.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\entities2.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\expand-alt-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\file-alt-regular.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\file-signature-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\filter-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\house.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\house2.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\logout.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\mosaic.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\network.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\newspaper-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\pen-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\people.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\plus.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\privacy.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\publications.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\search.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\settings.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\share-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\times-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\two-opposite-up-and-down-arrows-side-by-side.svg", "XML", 0, 0, 0, 0, 0, 0, 46, 1, 1, 48
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\user-plus.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\user-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\wifi.svg", "XML", 0, 0, 0, 0, 0, 0, 50, 1, 1, 52
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\actions\actionTypes\commentsActions.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
